Season,League,Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Attendance,Top Team Scorer,Goalkeeper
2018-2019,La Liga,1,Barcelona,38,26,9,3,90,36,54,87,"76,104",Lionel Messi - 36,Marc-AndrÃ© ter Stegen
2018-2019,La Liga,2,AtlÃ©tico Madrid,38,22,10,6,55,29,26,76,"56,216",Antoine Griezmann - 15,Jan Oblak
2018-2019,La Liga,3,Real Madrid,38,21,5,12,63,46,17,68,"61,040",Karim Benzema - 21,Thibaut Courtois
2018-2019,La Liga,4,Valencia,38,15,16,7,51,35,16,61,"39,504",Daniel Parejo - 9,Neto
2018-2019,La Liga,5,Getafe,38,15,14,9,48,35,13,59,"11,000","Jaime Mata, Jorge Molina - 14",David Soria
2018-2019,La Liga,6,Sevilla,38,17,8,13,62,47,15,59,"35,993",Wissam Ben Yedder - 18,TomÃ¡Å¡ VaclÃ­k
2018-2019,La Liga,7,Espanyol,38,14,11,13,48,50,-2,53,"19,388",Borja Iglesias - 17,Diego LÃ³pez
2018-2019,La Liga,8,Athletic Club,38,13,14,11,41,45,-4,53,"40,664",IÃ±aki Williams - 12,Iago HerrerÃ­n
2018-2019,La Liga,9,Real Sociedad,38,13,11,14,45,46,-1,50,"22,310",Mikel Oyarzabal - 13,GerÃ³nimo Rulli
2018-2019,La Liga,10,Betis,38,14,8,16,44,52,-8,50,"44,525",Giovani Lo Celso - 9,Pau LÃ³pez
2018-2019,La Liga,11,AlavÃ©s,38,13,11,14,39,50,-11,50,"17,295",Jonathan Calleri - 9,Fernando Pacheco
2018-2019,La Liga,12,Eibar,38,11,14,13,46,50,-4,47,"4,896",Charles - 14,Marko DmitroviÄ‡
2018-2019,La Liga,13,LeganÃ©s,38,11,12,15,37,43,-6,45,"10,416",Youssef En-Nesyri - 9,IvÃ¡n CuÃ©llar
2018-2019,La Liga,14,Villarreal,38,10,14,14,49,52,-3,44,"16,732",Karl Toko Ekambi - 10,Sergio Asenjo
2018-2019,La Liga,15,Levante,38,11,11,16,59,66,-7,44,"20,216",Roger MartÃ­ - 13,Oier OlazÃ¡bal
2018-2019,La Liga,16,Valladolid,38,10,11,17,32,51,-19,41,"18,992",Enes Ãœnal - 6,Jordi Masip
2018-2019,La Liga,17,Celta Vigo,38,10,11,17,53,62,-9,41,"17,603",Iago Aspas - 20,RubÃ©n Blanco
2018-2019,La Liga,18,Girona,38,9,10,19,37,53,-16,37,"10,948",Cristhian Stuani - 19,Yassine Bounou
2018-2019,La Liga,19,Huesca,38,7,12,19,43,65,-22,33,"6,605",Ezequiel Ãvila - 10,Roberto SantamarÃ­a
2018-2019,La Liga,20,Rayo Vallecano,38,8,8,22,41,70,-29,32,"11,928",RaÃºl de TomÃ¡s - 14,Stole Dimitrievski
