Season,League,Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Attendance,Top Team Scorer,Goalkeeper
2018-2019,League 1,1,Paris S-G,38,29,4,5,105,35,70,91,"46,911",Kylian MbappÃ© - 33,Alphonse Areola
2018-2019,League 1,2,Lille,38,22,9,7,68,33,35,75,"34,079",Nicolas PÃ©pÃ© - 22,Mike Maignan
2018-2019,League 1,3,Lyon,38,21,9,8,70,47,23,72,"49,079",Moussa DembÃ©lÃ© - 15,Anthony Lopes
2018-2019,League 1,4,Saint-Ã‰tienne,38,19,9,10,59,41,18,66,"28,400",Wahbi Khazri - 13,StÃ©phane Ruffier
2018-2019,League 1,5,Marseille,38,18,7,13,60,52,8,61,"50,140",Florian Thauvin - 16,Steve Mandanda
2018-2019,League 1,6,Montpellier,38,15,14,9,53,42,11,59,"13,829",Andy Delort - 14,Benjamin Lecomte
2018-2019,League 1,7,Nice,38,15,11,12,30,35,-5,56,"19,126",Youcef Attal - 6,Walter BenÃ­tez
2018-2019,League 1,8,Reims,38,13,16,9,39,42,-3,55,"14,342",Remi Oudin - 10,Edouard Mendy
2018-2019,League 1,9,NÃ®mes,38,15,8,15,57,58,-1,53,"13,994","Renaud Ripart, Denis Bouanga - 8",Paul Bernardoni
2018-2019,League 1,10,Rennes,38,13,13,12,55,52,3,52,"23,675",M'Baye Niang - 11,TomÃ¡Å¡ Koubek
2018-2019,League 1,11,Strasbourg,38,11,16,11,58,48,10,49,"25,216","Ludovic Ajorque, Lebo Mothiba - 9",Matz Sels
2018-2019,League 1,12,Nantes,38,13,9,16,48,48,0,48,"25,185",Emiliano Sala - 12,Ciprian TÄƒtÄƒruÈ™anu
2018-2019,League 1,13,Angers,38,10,16,12,44,49,-5,46,"11,189",StÃ©phane Bahoken - 11,Ludovic Butelle
2018-2019,League 1,14,Bordeaux,38,10,11,17,34,42,-8,41,"20,838",FranÃ§ois Kamano - 10,BenoÃ®t Costil
2018-2019,League 1,15,Amiens,38,9,11,18,31,52,-21,38,"11,043",Moussa KonatÃ© - 7,RÃ©gis Gurtner
2018-2019,League 1,16,Toulouse,38,8,14,16,35,57,-22,38,"16,224",Max Gradel - 11,Baptiste Reynet
2018-2019,League 1,17,Monaco,38,8,12,18,38,57,-19,36,"8,447",Radamel Falcao - 15,Diego Benaglio
2018-2019,League 1,18,Dijon,38,9,7,22,31,60,-29,34,"13,044",JÃºlio Tavares - 5,RÃºnar Alex RÃºnarsson
2018-2019,League 1,19,Caen,38,7,12,19,29,54,-25,33,"16,654","Casimir Ninga, Enzo Crivelli - 6",Brice Samba
2018-2019,League 1,20,Guingamp,38,5,12,21,28,68,-40,27,"14,731",Marcus Thuram - 9,Marc-AurÃ¨le Caillard
