Season,League,Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Attendance,Top Team Scorer,Goalkeeper
2019-2020,Bundesliga,1,Bayern Munich,34,26,4,4,100,32,68,82,"57,353",Robert Lewandowski - 34,Manuel Neuer
2019-2020,Bundesliga,2,Dortmund,34,21,6,7,84,41,43,69,"57,297",Jadon Sancho - 17,Roman BÃ¼rki
2019-2020,Bundesliga,3,RB Leipzig,34,18,12,4,81,37,44,66,"28,819",Timo Werner - 28,PÃ©ter GulÃ¡csi
2019-2020,Bundesliga,4,M'Gladbach,34,20,5,9,66,40,26,65,"36,078","Marcus Thuram, Alassane PlÃ©a - 10",Yann Sommer
2019-2020,Bundesliga,5,Leverkusen,34,19,6,9,61,44,17,63,"21,236",Kai Havertz - 12,LukÃ¡Å¡ HrÃ¡deckÃ½
2019-2020,Bundesliga,6,Hoffenheim,34,15,7,12,53,53,0,52,"20,449",Andrej KramariÄ‡ - 12,Oliver Baumann
2019-2020,Bundesliga,7,Wolfsburg,34,13,10,11,48,46,2,49,"18,621",Wout Weghorst - 16,Koen Casteels
2019-2020,Bundesliga,8,Freiburg,34,13,9,12,48,47,1,48,"16,888",Nils Petersen - 11,Alexander Schwolow
2019-2020,Bundesliga,9,Eint Frankfurt,34,13,6,15,59,60,-1,45,"35,435",AndrÃ© Silva - 12,Kevin Trapp
2019-2020,Bundesliga,10,Hertha BSC,34,11,8,15,48,59,-11,41,"37,689","Dodi Lukebakio, Vedad IbiÅ¡eviÄ‡ - 7",Rune Jarstein
2019-2020,Bundesliga,11,Union Berlin,34,12,5,17,41,58,-17,41,"15,467",Sebastian Andersson - 12,RafaÅ‚ Gikiewicz
2019-2020,Bundesliga,12,Schalke 04,34,9,12,13,38,58,-20,39,"46,681",Suat Serdar - 7,Alexander NÃ¼bel
2019-2020,Bundesliga,13,Mainz 05,34,11,4,19,44,65,-21,37,"20,694",Robin Quaison - 13,Robin Zentner
2019-2020,Bundesliga,14,KÃ¶ln,34,10,6,18,51,69,-18,36,"35,094",Jhon CÃ³rdoba - 13,Timo Horn
2019-2020,Bundesliga,15,Augsburg,34,9,9,16,45,63,-18,36,"20,265",Florian Niederlechner - 13,TomÃ¡Å¡ Koubek
2019-2020,Bundesliga,16,Werder Bremen,34,8,7,19,42,69,-27,31,"26,413","Yuya Osako, Milot Rashica - 8",JiÅ™Ã­ Pavlenka
2019-2020,Bundesliga,17,DÃ¼sseldorf,34,6,12,16,36,67,-31,30,"30,581",Rouwen Hennings - 15,"Zack Steffen, Florian Kastenmeier"
2019-2020,Bundesliga,18,Paderborn 07,34,4,8,22,37,74,-37,20,"11,038","Streli Mamba, Sven Michel... - 5",Leopold Zingerle
