Season,League,Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Attendance,Top Team Scorer,Goalkeeper
2019-2020,Serie A,1,Juventus,38,26,5,7,76,43,33,83,"25,102",Cristiano Ronaldo - 31,Wojciech SzczÄ™sny
2019-2020,Serie A,2,Inter,38,24,10,4,81,36,45,82,"41,558",Romelu Lukaku - 23,Samir HandanoviÄ‡
2019-2020,Serie A,3,Atalanta,38,23,9,6,98,48,50,78,"11,167","Luis Muriel, DuvÃ¡n Zapata - 18",Pierluigi Gollini
2019-2020,Serie A,4,Lazio,38,24,6,8,79,42,37,78,"26,363",Ciro Immobile - 36,Thomas Strakosha
2019-2020,Serie A,5,Roma,38,21,7,10,77,51,26,70,"26,956",Edin DÅ¾eko - 16,Pau LÃ³pez
2019-2020,Serie A,6,Milan,38,19,9,10,63,46,17,66,"34,078",Ante RebiÄ‡ - 11,Gianluigi Donnarumma
2019-2020,Serie A,7,Napoli,38,18,8,12,61,50,11,62,"21,622",Arkadiusz Milik - 11,Alex Meret
2019-2020,Serie A,8,Sassuolo,38,14,9,15,69,63,6,51,"7,704",Francesco Caputo - 21,Andrea Consigli
2019-2020,Serie A,9,Hellas Verona,38,12,13,13,47,51,-4,49,"11,248",Samuel Di Carmine - 8,Marco Silvestri
2019-2020,Serie A,10,Fiorentina,38,12,13,13,51,48,3,49,"22,486",Federico Chiesa - 11,BartÅ‚omiej DrÄ…gowski
2019-2020,Serie A,11,Parma,38,14,7,17,56,57,-1,49,"10,245",Andreas Cornelius - 12,Luigi Sepe
2019-2020,Serie A,12,Bologna,38,12,11,15,52,65,-13,47,"15,774",Musa Barrow - 9,Åukasz Skorupski
2019-2020,Serie A,13,Udinese,38,12,9,17,37,51,-14,45,"13,841",Kevin Lasagna - 10,Juan Musso
2019-2020,Serie A,14,Cagliari,38,11,12,15,52,56,-4,45,"10,728",JoÃ£o Pedro - 18,Robin Olsen
2019-2020,Serie A,15,Sampdoria,38,12,6,20,48,65,-17,42,"13,700","Manolo Gabbiadini, Fabio Quagliarella - 11",Emil Audero
2019-2020,Serie A,16,Torino,38,11,7,20,46,68,-22,40,"13,338",Andrea Belotti - 16,Salvatore Sirigu
2019-2020,Serie A,17,Genoa,38,10,9,19,47,73,-26,39,"14,016",Goran Pandev - 9,Mattia Perin
2019-2020,Serie A,18,Lecce,38,9,8,21,52,85,-33,35,"15,939",Marco Mancosu - 14,Gabriel
2019-2020,Serie A,19,Brescia,38,6,7,25,35,79,-44,25,"10,050","Ernesto Torregrossa, Alfredo Donnarumma - 7",Jesse Joronen
2019-2020,Serie A,20,SPAL,38,5,5,28,27,77,-50,20,"8,241",Andrea Petagna - 12,Etrit Berisha
