Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2017-2018,EPL,1,Patrick van Aanholt,nl NED,DF,Crystal Palace,26,1990,28,25,"2,184",5,1,0,0,7,0
2017-2018,EPL,2,Rolando Aarons,eng ENG,"FW,MF",Newcastle Utd,21,1995,4,1,139,0,0,0,0,0,0
2017-2018,EPL,3,Tammy Abraham,eng ENG,"FW,MF",Swansea City,19,1997,31,15,"1,726",5,1,0,0,0,0
2017-2018,EPL,4,Charlie Adam,sco SCO,MF,Stoke City,31,1985,11,5,411,0,0,0,1,2,1
2017-2018,EPL,5,Adrián,es ESP,GK,West Ham,30,1987,19,19,"1,710",0,0,0,0,2,0
2017-2018,EPL,6,Ibrahim Afellay,nl NED,MF,Stoke City,31,1986,6,1,166,0,0,0,0,1,0
2017-2018,EPL,7,Benik Afobe,cd COD,"FW,MF",Bournemouth,24,1993,17,5,611,0,0,0,0,0,0
2017-2018,EPL,8,Sergio Agüero,ar ARG,FW,Manchester City,29,1988,25,22,"1,963",21,6,4,4,2,0
2017-2018,EPL,9,Nathan Aké,nl NED,DF,Bournemouth,22,1995,38,37,"3,353",2,3,0,0,5,0
2017-2018,EPL,10,Marc Albrighton,eng ENG,"MF,FW",Leicester City,27,1989,34,30,"2,538",2,7,0,0,5,1
2017-2018,EPL,11,Toby Alderweireld,be BEL,DF,Tottenham,28,1989,14,13,"1,178",0,0,0,0,3,0
2017-2018,EPL,12,Trent Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,19,18,"1,573",1,1,0,0,3,0
2017-2018,EPL,13,Joe Allen,wal WAL,MF,Stoke City,27,1990,36,36,"3,139",2,6,0,0,8,0
2017-2018,EPL,14,Dele Alli,eng ENG,"MF,FW",Tottenham,21,1996,36,34,"2,958",9,10,0,0,7,0
2017-2018,EPL,15,Marcos Alonso,es ESP,"DF,MF",Chelsea,26,1990,33,33,"2,855",7,2,0,0,6,0
2017-2018,EPL,16,Daniel Amartey,gh GHA,DF,Leicester City,22,1994,8,6,487,0,0,0,0,1,2
2017-2018,EPL,17,Ethan Ampadu,wal WAL,DF,Chelsea,16,2000,1,0,11,0,0,0,0,0,0
2017-2018,EPL,18,Nordin Amrabat,ma MAR,FW,Watford,30,1987,3,3,198,0,0,0,0,0,0
2017-2018,EPL,19,Michail Antonio,eng ENG,"FW,MF",West Ham,27,1990,21,16,"1,354",3,1,0,0,1,0
2017-2018,EPL,20,Scott Arfield,ca CAN,"FW,MF",Burnley,28,1988,18,15,"1,333",2,1,0,0,3,0
2017-2018,EPL,21,Marko Arnautović,at AUT,"FW,MF",West Ham,28,1989,31,28,"2,313",11,6,0,0,5,1
2017-2018,EPL,22,Harry Arter,ie IRL,MF,Bournemouth,27,1989,13,11,960,1,0,0,0,4,0
2017-2018,EPL,23,Christian Atsu,gh GHA,"MF,FW",Newcastle Utd,25,1992,28,19,"1,784",2,2,0,0,1,0
2017-2018,EPL,24,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,28,1989,13,12,"1,057",10,4,1,2,0,0
2017-2018,EPL,25,Serge Aurier,ci CIV,DF,Tottenham,24,1992,17,16,"1,429",2,2,0,0,2,2
2017-2018,EPL,26,Charlie Austin,eng ENG,FW,Southampton,28,1989,24,10,"1,037",7,0,1,1,2,0
2017-2018,EPL,27,André Ayew,gh GHA,"FW,MF",West Ham,27,1989,18,9,895,3,2,0,1,2,0
2017-2018,EPL,28,André Ayew,gh GHA,"FW,MF",Swansea City,27,1989,12,10,950,0,2,0,0,3,0
2017-2018,EPL,29,Jordan Ayew,gh GHA,"FW,MF",Swansea City,25,1991,36,33,"2,852",7,2,1,1,2,1
2017-2018,EPL,30,César Azpilicueta,es ESP,DF,Chelsea,27,1989,37,37,"3,330",2,6,0,0,1,0
2017-2018,EPL,31,Eric Bailly,ci CIV,DF,Manchester Utd,23,1994,13,11,"1,001",1,0,0,0,2,0
2017-2018,EPL,32,Leighton Baines,eng ENG,DF,Everton,32,1984,22,22,"1,909",2,3,2,2,1,0
2017-2018,EPL,33,Tiemoué Bakayoko,fr FRA,MF,Chelsea,22,1994,29,24,"2,126",2,2,0,0,4,2
2017-2018,EPL,34,Sam Baldock,eng ENG,"FW,MF",Brighton,28,1989,2,0,32,0,0,0,0,0,0
2017-2018,EPL,35,Beni Baningime,cd COD,MF,Everton,18,1998,8,1,198,0,0,0,0,1,0
2017-2018,EPL,36,Phil Bardsley,sco SCO,DF,Burnley,32,1985,13,13,"1,125",0,0,0,0,5,0
2017-2018,EPL,37,Ross Barkley,eng ENG,"MF,FW",Chelsea,23,1993,2,2,129,0,0,0,0,0,0
2017-2018,EPL,38,Ashley Barnes,at AUT,FW,Burnley,27,1989,36,21,"2,165",9,0,0,0,10,0
2017-2018,EPL,39,Harvey Barnes,eng ENG,"MF,FW",Leicester City,19,1997,3,0,10,0,0,0,0,0,0
2017-2018,EPL,40,Gareth Barry,eng ENG,MF,West Brom,36,1981,25,22,"1,923",1,1,0,0,4,0
2017-2018,EPL,41,Kyle Bartley,eng ENG,DF,Swansea City,26,1991,5,2,235,0,0,0,0,2,0
2017-2018,EPL,42,Michy Batshuayi,be BEL,FW,Chelsea,23,1993,12,3,360,2,1,0,0,0,0
2017-2018,EPL,43,Moritz Bauer,at AUT,"DF,MF",Stoke City,25,1992,15,15,"1,306",0,0,0,0,4,0
2017-2018,EPL,44,Jan Bednarek,pl POL,DF,Southampton,21,1996,5,5,426,1,0,0,0,1,0
2017-2018,EPL,45,Asmir Begović,ba BIH,GK,Bournemouth,30,1987,38,38,"3,420",0,0,0,0,2,0
2017-2018,EPL,46,Héctor Bellerín,es ESP,"DF,MF",Arsenal,22,1995,35,34,"3,051",2,3,0,0,5,0
2017-2018,EPL,47,Yohan Benalouane,tn TUN,DF,Leicester City,30,1987,1,1,90,0,0,0,0,0,0
2017-2018,EPL,48,Christian Benteke,be BEL,FW,Crystal Palace,26,1990,31,24,"2,240",3,5,1,2,6,0
2017-2018,EPL,49,Saido Berahino,bi BDI,FW,Stoke City,23,1993,15,3,494,0,1,0,1,0,0
2017-2018,EPL,50,Jóhann Berg Guðmundsson,is ISL,"MF,FW",Burnley,26,1990,35,32,"2,833",2,8,0,0,2,0
2017-2018,EPL,51,Ryan Bertrand,eng ENG,DF,Southampton,27,1989,35,35,"3,135",0,4,0,0,2,0
