Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2018-2019,Bundesliga,1,Issah Abbas,gh GHA,FW,Mainz 05,19,1998,1,0,9,0,0,0,0,0,0
2018-2019,Bundesliga,2,David Abraham,ar ARG,DF,Eint Frankfurt,32,1986,17,17,"1,420",0,0,0,0,2,0
2018-2019,Bundesliga,3,Amir Abrashi,al ALB,MF,Freiburg,28,1990,10,9,790,0,0,0,0,5,0
2018-2019,Bundesliga,4,Tyler Adams,us USA,MF,RB Leipzig,19,1999,10,8,721,0,2,0,0,0,0
2018-2019,Bundesliga,5,Antonis Aidonis,de GER,DF,Stuttgart,17,2001,2,1,80,0,0,0,0,1,0
2018-2019,Bundesliga,6,Manuel Akanji,ch SUI,DF,Dortmund,23,1995,25,25,"2,205",1,0,0,0,1,0
2018-2019,Bundesliga,7,Chadrac Akolo,cd COD,"MF,FW",Stuttgart,23,1995,16,5,525,0,1,0,0,0,0
2018-2019,Bundesliga,8,Kevin Akpoguma,de GER,DF,Hoffenheim,23,1995,8,5,499,0,0,0,0,2,0
2018-2019,Bundesliga,9,Kevin Akpoguma,de GER,DF,Hannover 96,23,1995,4,4,313,0,0,0,0,2,0
2018-2019,Bundesliga,10,David Alaba,at AUT,DF,Bayern Munich,26,1992,31,29,"2,530",3,3,0,0,4,0
2018-2019,Bundesliga,11,Lucas Alario,ar ARG,FW,Leverkusen,25,1992,27,11,"1,265",9,3,0,0,1,0
2018-2019,Bundesliga,12,Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,27,1990,22,19,"1,660",1,3,0,0,3,1
2018-2019,Bundesliga,13,Paco Alcácer,es ESP,FW,Dortmund,24,1993,26,11,"1,211",18,0,1,1,0,0
2018-2019,Bundesliga,14,Thiago Alcántara,es ESP,MF,Bayern Munich,27,1991,30,26,"2,408",2,6,0,0,5,0
2018-2019,Bundesliga,15,Allan,br BRA,"MF,DF",Eint Frankfurt,21,1997,4,2,176,0,0,0,0,1,0
2018-2019,Bundesliga,16,Alfons Amade,de GER,MF,Hoffenheim,18,1999,1,0,9,0,0,0,0,0,0
2018-2019,Bundesliga,17,Nadiem Amiri,de GER,"MF,FW",Hoffenheim,21,1996,13,10,754,3,1,0,0,1,0
2018-2019,Bundesliga,18,Waldemar Anton,de GER,DF,Hannover 96,22,1996,34,34,"3,060",1,0,0,0,4,0
2018-2019,Bundesliga,19,Dennis Aogo,de GER,MF,Stuttgart,31,1987,15,13,"1,025",0,0,0,0,1,0
