Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2018-2019,Serie A,1,Ignazio Abate,it ITA,DF,Milan,31,1986,19,15,"1,302",0,0,0,0,4,0
2018-2019,Serie A,2,Francesco Acerbi,it ITA,DF,Lazio,30,1988,37,37,"3,309",3,1,0,0,4,1
2018-2019,Serie A,3,Afriyie Acquah,gh GHA,MF,Empoli,26,1992,28,19,"1,510",2,0,0,0,4,0
2018-2019,Serie A,4,Claud Adjapong,it ITA,"MF,DF",Sassuolo,20,1998,5,3,270,1,0,0,0,1,0
2018-2019,Serie A,5,Ali Adnan Kadhim,iq IRQ,"MF,DF",Atalanta,24,1993,3,2,166,0,0,0,0,0,0
2018-2019,Serie A,6,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,27,1990,4,2,161,0,0,0,0,0,0
2018-2019,Serie A,7,Ola Aina,ng NGA,"DF,MF",Torino,21,1996,30,22,"2,160",1,3,0,0,5,1
2018-2019,Serie A,8,Luis Alberto,es ESP,"MF,FW",Lazio,25,1992,27,25,"1,990",4,5,1,1,5,1
2018-2019,Serie A,9,Raúl Albiol,es ESP,DF,Napoli,32,1985,20,19,"1,713",1,0,0,0,4,0
2018-2019,Serie A,10,Allan,br BRA,MF,Napoli,27,1991,33,28,"2,616",1,3,0,0,10,0
2018-2019,Serie A,11,Bruno Alves,pt POR,DF,Parma,36,1981,33,33,"2,922",4,1,0,0,9,1
2018-2019,Serie A,12,Joachim Andersen,dk DEN,DF,Sampdoria,22,1996,32,32,"2,880",0,1,0,0,7,0
2018-2019,Serie A,13,Marco Andreolli,it ITA,DF,Cagliari,32,1986,3,1,106,0,0,0,0,1,0
2018-2019,Serie A,14,Marco Andreolli,it ITA,DF,Chievo,32,1986,8,7,646,0,0,0,0,2,0
2018-2019,Serie A,15,Cristian Ansaldi,ar ARG,"DF,MF",Torino,31,1986,24,23,"1,807",3,2,0,0,3,0
2018-2019,Serie A,16,Mirco Antenucci,it ITA,FW,SPAL,33,1984,35,22,"2,133",5,0,1,2,0,0
2018-2019,Serie A,17,Luca Antonelli,it ITA,"DF,MF",Empoli,31,1987,13,10,755,0,1,0,0,1,0
2018-2019,Serie A,18,Mauro Antonio Burruchaga,ar ARG,MF,Chievo,20,1998,1,0,58,0,0,0,0,0,0
2018-2019,Serie A,19,Joaquín Ardaiz,uy URU,FW,Frosinone,19,1999,1,0,20,0,0,0,0,0,0
2018-2019,Serie A,20,Lorenzo Ariaudo,it ITA,DF,Frosinone,29,1989,19,19,"1,682",0,0,0,0,2,0
2018-2019,Serie A,21,Nicolò Armini,it ITA,DF,Lazio,17,2001,1,0,38,0,0,0,0,0,0
2018-2019,Serie A,22,Kwadwo Asamoah,gh GHA,DF,Inter,29,1988,32,30,"2,671",0,1,0,0,6,0
2018-2019,Serie A,23,Emil Audero,it ITA,GK,Sampdoria,21,1997,36,36,"3,240",0,0,0,0,4,0
2018-2019,Serie A,24,Khouma Babacar,sn SEN,FW,Sassuolo,25,1993,29,16,"1,488",7,2,2,2,0,0
2018-2019,Serie A,25,Milan Badelj,hr CRO,MF,Lazio,29,1989,23,14,"1,141",1,0,0,0,6,0
2018-2019,Serie A,26,Tiemoué Bakayoko,fr FRA,MF,Milan,23,1994,31,26,"2,301",1,1,0,0,6,1
2018-2019,Serie A,27,Keita Baldé,sn SEN,"FW,MF",Inter,23,1995,24,8,889,5,2,0,0,2,1
