Season,League,Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Attendance,Top Team Scorer,Goalkeeper
2017-2018,Bundesliga,1,Bayern Munich,34,27,3,4,92,28,64,84,"75,000",Robert Lewandowski - 29,Sven Ulreich
2017-2018,Bundesliga,2,Schalke 04,34,18,9,7,53,37,16,63,"61,197",Guido Burgstaller - 11,Ralf FÃ¤hrmann
2017-2018,Bundesliga,3,Hoffenheim,34,15,10,9,66,48,18,55,"28,716",Mark Uth - 14,Oliver Baumann
2017-2018,Bundesliga,4,Dortmund,34,15,10,9,64,47,17,55,"79,496",Pierre-Emerick Aubameyang - 13,Roman BÃ¼rki
2017-2018,Bundesliga,5,Leverkusen,34,15,10,9,58,44,14,55,"28,415",Kevin Volland - 14,Bernd Leno
2017-2018,Bundesliga,6,RB Leipzig,34,15,8,11,57,53,4,53,"39,397",Timo Werner - 13,PÃ©ter GulÃ¡csi
2017-2018,Bundesliga,7,Stuttgart,34,15,6,13,36,36,0,51,"56,045",Mario GÃ³mez - 8,Ron-Robert Zieler
2017-2018,Bundesliga,8,Eint Frankfurt,34,14,7,13,45,45,0,49,"49,159",SÃ©bastien Haller - 9,LukÃ¡Å¡ HrÃ¡deckÃ½
2017-2018,Bundesliga,9,M'Gladbach,34,13,8,13,47,52,-5,47,"50,986",Thorgan Hazard - 10,Yann Sommer
2017-2018,Bundesliga,10,Hertha BSC,34,10,13,11,43,46,-3,43,"45,319",Salomon Kalou - 12,Rune Jarstein
2017-2018,Bundesliga,11,Werder Bremen,34,10,12,12,37,40,-3,42,"38,726",Max Kruse - 6,JiÅ™Ã­ Pavlenka
2017-2018,Bundesliga,12,Augsburg,34,10,11,13,43,46,-3,41,"28,238",Michael Gregoritsch - 13,Marwin Hitz
2017-2018,Bundesliga,13,Hannover 96,34,10,9,15,44,54,-10,39,"42,706",Niclas FÃ¼llkrug - 14,Philipp Tschauner
2017-2018,Bundesliga,14,Mainz 05,34,9,9,16,38,52,-14,36,"28,766",Yoshinori MutÅ - 8,Robin Zentner
2017-2018,Bundesliga,15,Freiburg,34,8,12,14,32,56,-24,36,"23,894",Nils Petersen - 15,Alexander Schwolow
2017-2018,Bundesliga,16,Wolfsburg,34,6,15,13,36,48,-12,33,"25,712",Daniel Didavi - 9,Koen Casteels
2017-2018,Bundesliga,17,Hamburger SV,34,8,7,19,29,53,-24,31,"50,656",Lewis Holtby - 6,Christian Mathenia
2017-2018,Bundesliga,18,KÃ¶ln,34,5,7,22,35,70,-35,22,"48,776","Leonardo Bittencourt, Simon Terodde - 5",Timo Horn
2017-2018,La Liga,1,Barcelona,38,28,9,1,99,29,70,93,"66,603",Lionel Messi - 34,Marc-AndrÃ© ter Stegen
2017-2018,La Liga,2,AtlÃ©tico Madrid,38,23,10,5,58,22,36,79,"55,483",Antoine Griezmann - 19,Jan Oblak
2017-2018,La Liga,3,Real Madrid,38,22,10,6,94,44,50,76,"66,161",Cristiano Ronaldo - 26,Keylor Navas
2017-2018,La Liga,4,Valencia,38,22,7,9,65,38,27,73,"38,657",Rodrigo - 16,Neto
2017-2018,La Liga,5,Villarreal,38,18,7,13,57,50,7,61,"16,731",Carlos Bacca - 15,Sergio Asenjo
2017-2018,La Liga,6,Betis,38,18,6,14,60,61,-1,60,"46,711",Sergio LeÃ³n - 11,Antonio AdÃ¡n
2017-2018,La Liga,7,Sevilla,38,17,7,14,49,58,-9,58,"33,045",Wissam Ben Yedder - 9,Sergio Rico
2017-2018,La Liga,8,Getafe,38,15,10,13,42,33,9,55,"10,318",Ãngel RodrÃ­guez - 13,Vicente Guaita
2017-2018,La Liga,9,Eibar,38,14,9,15,44,50,-6,51,"5,338","Kike, Charles - 8",Marko DmitroviÄ‡
2017-2018,La Liga,10,Girona,38,14,9,15,50,59,-9,51,"10,330",Cristhian Stuani - 21,Yassine Bounou
2017-2018,La Liga,11,Espanyol,38,12,13,13,36,42,-6,49,"17,768",Gerard Moreno - 16,Pau LÃ³pez
2017-2018,La Liga,12,Real Sociedad,38,14,7,17,66,59,7,49,"19,736",Willian JosÃ© - 15,GerÃ³nimo Rulli
2017-2018,La Liga,13,Celta Vigo,38,13,10,15,59,60,-1,49,"15,683",Iago Aspas - 22,RubÃ©n Blanco
2017-2018,La Liga,14,AlavÃ©s,38,15,2,21,40,50,-10,47,"16,819",Munir El Haddadi - 10,Fernando Pacheco
2017-2018,La Liga,15,Levante,38,11,13,14,44,58,-14,46,"17,927",JosÃ© Luis Morales - 10,Oier OlazÃ¡bal
2017-2018,La Liga,16,Athletic Club,38,10,13,15,41,49,-8,43,"37,325",RaÃºl GarcÃ­a - 10,Kepa Arrizabalaga
2017-2018,La Liga,17,LeganÃ©s,38,12,7,19,34,51,-17,43,"9,539",Gabriel - 5,IvÃ¡n CuÃ©llar
2017-2018,La Liga,18,La CoruÃ±a,38,6,11,21,38,76,-38,29,"20,612",AdriÃ¡n LÃ³pez - 9,RubÃ©n
2017-2018,La Liga,19,Las Palmas,38,5,7,26,24,74,-50,22,"16,156",Jonathan Calleri - 9,Leandro Chichizola
2017-2018,La Liga,20,MÃ¡laga,38,5,5,28,24,61,-37,20,"20,420",Diego RolÃ¡n - 5,Roberto
2017-2018,League 1,1,Paris S-G,38,29,6,3,108,29,79,93,"46,929",Edinson Cavani - 28,Alphonse Areola
2017-2018,League 1,2,Monaco,38,24,8,6,85,45,40,80,"9,243",Radamel Falcao - 18,Danijel SubaÅ¡iÄ‡
2017-2018,League 1,3,Lyon,38,23,9,6,87,43,44,78,"46,005",Memphis Depay - 19,Anthony Lopes
2017-2018,League 1,4,Marseille,38,22,11,5,80,47,33,77,"46,040",Florian Thauvin - 22,Steve Mandanda
2017-2018,League 1,5,Rennes,38,16,10,12,50,44,6,58,"23,111",Benjamin Bourigeaud - 10,TomÃ¡Å¡ Koubek
2017-2018,League 1,6,Bordeaux,38,16,7,15,53,48,5,55,"26,470",Malcom - 12,BenoÃ®t Costil
2017-2018,League 1,7,Saint-Ã‰tienne,38,15,10,13,47,50,-3,55,"28,142","Jonathan Bamba, RÃ©my Cabella... - 7",StÃ©phane Ruffier
2017-2018,League 1,8,Nice,38,15,9,14,53,52,1,54,"22,876",Mario Balotelli - 18,Walter BenÃ­tez
2017-2018,League 1,9,Nantes,38,14,10,14,36,41,-5,52,"24,559",Emiliano Sala - 12,Ciprian TÄƒtÄƒruÈ™anu
2017-2018,League 1,10,Montpellier,38,11,18,9,36,33,3,51,"13,458",Giovanni Sio - 10,Benjamin Lecomte
2017-2018,League 1,11,Dijon,38,13,9,16,55,73,-18,48,"12,228",JÃºlio Tavares - 12,Baptiste Reynet
2017-2018,League 1,12,Guingamp,38,12,11,15,48,59,-11,47,"14,506",Jimmy Briand - 11,Karl-Johan Johnsson
2017-2018,League 1,13,Amiens,38,12,9,17,37,42,-5,45,"9,644",Moussa KonatÃ© - 13,RÃ©gis Gurtner
2017-2018,League 1,14,Angers,38,9,14,15,42,52,-10,41,"11,062",Karl Toko Ekambi - 17,Ludovic Butelle
2017-2018,League 1,15,Strasbourg,38,9,11,18,44,67,-23,38,"24,083",StÃ©phane Bahoken - 7,Bingourou Kamara
2017-2018,League 1,16,Caen,38,10,8,20,27,52,-25,38,"17,188",Ivan Santini - 11,RÃ©my Vercoutre
2017-2018,League 1,17,Lille,38,10,8,20,41,67,-26,38,"31,453",Nicolas PÃ©pÃ© - 13,Mike Maignan
2017-2018,League 1,18,Toulouse,38,9,10,19,38,54,-16,37,"16,924",Max Gradel - 8,Alban Lafont
2017-2018,League 1,19,Troyes,38,9,6,23,32,59,-27,33,"12,196",Adama Niane - 8,Mamadou Samassa
2017-2018,League 1,20,Metz,38,6,8,24,34,76,-42,26,"14,839",Nolan Roux - 15,Eiji Kawashima
2017-2018,EPL,1,Manchester City,38,32,4,2,106,27,79,100,"54,070",Sergio AgÃ¼ero - 21,Ederson
2017-2018,EPL,2,Manchester Utd,38,25,6,7,68,28,40,81,"74,976",Romelu Lukaku - 16,David de Gea
2017-2018,EPL,3,Tottenham,38,23,8,7,74,36,38,77,"67,953",Harry Kane - 30,Hugo Lloris
2017-2018,EPL,4,Liverpool,38,21,12,5,84,38,46,75,"53,049",Mohamed Salah - 32,"Loris Karius, Simon Mignolet"
2017-2018,EPL,5,Chelsea,38,21,7,10,62,38,24,70,"41,282",Eden Hazard - 12,Thibaut Courtois
2017-2018,EPL,6,Arsenal,38,19,6,13,74,51,23,63,"59,323",Alexandre Lacazette - 14,Petr ÄŒech
2017-2018,EPL,7,Burnley,38,14,12,12,36,39,-3,54,"20,688",Chris Wood - 10,Nick Pope
2017-2018,EPL,8,Everton,38,13,10,15,44,58,-14,49,"38,797",Wayne Rooney - 10,Jordan Pickford
2017-2018,EPL,9,Leicester City,38,12,11,15,56,60,-4,47,"31,583",Jamie Vardy - 20,Kasper Schmeichel
2017-2018,EPL,10,Newcastle Utd,38,12,8,18,39,47,-8,44,"51,992",Ayoze PÃ©rez - 8,Rob Elliot
2017-2018,EPL,11,Crystal Palace,38,11,11,16,45,55,-10,44,"25,063",Luka MilivojeviÄ‡ - 10,Wayne Hennessey
2017-2018,EPL,12,Bournemouth,38,11,11,16,45,61,-16,44,"10,641","Callum Wilson, Joshua King - 8",Asmir BegoviÄ‡
2017-2018,EPL,13,West Ham,38,10,12,16,48,68,-20,42,"56,885",Marko ArnautoviÄ‡ - 11,"Joe Hart, AdriÃ¡n"
2017-2018,EPL,14,Watford,38,11,8,19,44,64,-20,41,"20,231",Abdoulaye DoucourÃ© - 7,Heurelho Gomes
2017-2018,EPL,15,Brighton,38,9,13,16,34,54,-20,40,"30,403",Glenn Murray - 12,Mathew Ryan
2017-2018,EPL,16,Huddersfield,38,9,10,19,28,58,-30,37,"24,040",Steve MouniÃ© - 7,Jonas LÃ¶ssl
2017-2018,EPL,17,Southampton,38,7,15,16,37,56,-19,36,"30,794",Charlie Austin - 7,Fraser Forster
2017-2018,EPL,18,Swansea City,38,8,9,21,28,56,-28,33,"20,623",Jordan Ayew - 7,Åukasz FabiaÅ„ski
2017-2018,EPL,19,Stoke City,38,7,12,19,35,68,-33,33,"29,280",Xherdan Shaqiri - 8,Jack Butland
2017-2018,EPL,20,West Brom,38,6,13,19,31,56,-25,31,"24,520","SalomÃ³n RondÃ³n, Jay Rodriguez - 7",Ben Foster
2017-2018,Serie A,1,Juventus,38,30,5,3,86,24,62,95,"39,316",Paulo Dybala - 22,Gianluigi Buffon
2017-2018,Serie A,2,Napoli,38,28,7,3,77,29,48,91,"43,050",Dries Mertens - 18,Pepe Reina
2017-2018,Serie A,3,Roma,38,23,8,7,61,28,33,77,"37,450",Edin DÅ¾eko - 16,Alisson
2017-2018,Serie A,4,Inter,38,20,12,6,66,30,36,72,"57,529",Mauro Icardi - 29,Samir HandanoviÄ‡
2017-2018,Serie A,5,Lazio,38,21,9,8,89,49,40,72,"30,990",Ciro Immobile - 29,Thomas Strakosha
2017-2018,Serie A,6,Milan,38,18,10,10,56,42,14,64,"52,690",Patrick Cutrone - 10,Gianluigi Donnarumma
2017-2018,Serie A,7,Atalanta,38,16,12,10,57,39,18,60,"17,921",Josip IliÄiÄ‡ - 11,Etrit Berisha
2017-2018,Serie A,8,Fiorentina,38,16,9,13,54,46,8,57,"26,092",Giovanni Simeone - 14,Marco Sportiello
2017-2018,Serie A,9,Torino,38,13,15,10,54,46,8,54,"18,596",Iago Falque - 12,Salvatore Sirigu
2017-2018,Serie A,10,Sampdoria,38,16,6,16,56,60,-4,54,"20,156",Fabio Quagliarella - 19,Emiliano Viviano
2017-2018,Serie A,11,Sassuolo,38,11,10,17,29,59,-30,43,"11,237",Matteo Politano - 10,Andrea Consigli
2017-2018,Serie A,12,Genoa,38,11,8,19,33,43,-10,41,"20,941",Gianluca Lapadula - 6,Mattia Perin
2017-2018,Serie A,13,Chievo,38,10,10,18,36,59,-23,40,"12,540",Roberto Inglese - 12,Stefano Sorrentino
2017-2018,Serie A,14,Udinese,38,12,4,22,48,63,-15,40,"17,906",Kevin Lasagna - 12,Albano Bizzarri
2017-2018,Serie A,15,Bologna,38,11,6,21,40,52,-12,39,"20,903",Simone Verdi - 10,Antonio Mirante
2017-2018,Serie A,16,Cagliari,38,11,6,21,33,61,-28,39,"14,685",Leonardo Pavoletti - 11,Alessio Cragno
2017-2018,Serie A,17,SPAL,38,8,14,16,39,59,-20,38,"12,067",Mirco Antenucci - 11,Alfred Gomis
