Season,League,Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Attendance,Top Team Scorer,Goalkeeper,Winner
2017-2018,League 1,1,Paris S-G,38,29,6,3,108,29,79,93,"46,929",Edinson Cavani - 28,Alphonse Areola,Champion
2017-2018,League 1,2,Monaco,38,24,8,6,85,45,40,80,"9,243",Radamel Falcao - 18,Danijel SubaÅ¡iÄ‡,
2017-2018,League 1,3,Lyon,38,23,9,6,87,43,44,78,"46,005",Memphis Depay - 19,Anthony Lopes,
2017-2018,League 1,4,Marseille,38,22,11,5,80,47,33,77,"46,040",Florian Thauvin - 22,Steve Mandanda,
2017-2018,League 1,5,Rennes,38,16,10,12,50,44,6,58,"23,111",Benjamin Bourigeaud - 10,TomÃ¡Å¡ Koubek,
2017-2018,League 1,6,Bordeaux,38,16,7,15,53,48,5,55,"26,470",Malcom - 12,BenoÃ®t Costil,
2017-2018,League 1,7,Saint-Ã‰tienne,38,15,10,13,47,50,-3,55,"28,142","Jonathan Bamba, RÃ©my Cabella... - 7",StÃ©phane Ruffier,
2017-2018,League 1,8,Nice,38,15,9,14,53,52,1,54,"22,876",Mario Balotelli - 18,Walter BenÃ­tez,
2017-2018,League 1,9,Nantes,38,14,10,14,36,41,-5,52,"24,559",Emiliano Sala - 12,Ciprian TÄƒtÄƒruÈ™anu,
2017-2018,League 1,10,Montpellier,38,11,18,9,36,33,3,51,"13,458",Giovanni Sio - 10,Benjamin Lecomte,
2017-2018,League 1,11,Dijon,38,13,9,16,55,73,-18,48,"12,228",JÃºlio Tavares - 12,Baptiste Reynet,
2017-2018,League 1,12,Guingamp,38,12,11,15,48,59,-11,47,"14,506",Jimmy Briand - 11,Karl-Johan Johnsson,
2017-2018,League 1,13,Amiens,38,12,9,17,37,42,-5,45,"9,644",Moussa KonatÃ© - 13,RÃ©gis Gurtner,
2017-2018,League 1,14,Angers,38,9,14,15,42,52,-10,41,"11,062",Karl Toko Ekambi - 17,Ludovic Butelle,
2017-2018,League 1,15,Strasbourg,38,9,11,18,44,67,-23,38,"24,083",StÃ©phane Bahoken - 7,Bingourou Kamara,
2017-2018,League 1,16,Caen,38,10,8,20,27,52,-25,38,"17,188",Ivan Santini - 11,RÃ©my Vercoutre,
2017-2018,League 1,17,Lille,38,10,8,20,41,67,-26,38,"31,453",Nicolas PÃ©pÃ© - 13,Mike Maignan,
2017-2018,League 1,18,Toulouse,38,9,10,19,38,54,-16,37,"16,924",Max Gradel - 8,Alban Lafont,
2017-2018,League 1,19,Troyes,38,9,6,23,32,59,-27,33,"12,196",Adama Niane - 8,Mamadou Samassa,
2017-2018,League 1,20,Metz,38,6,8,24,34,76,-42,26,"14,839",Nolan Roux - 15,Eiji Kawashima,
