Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2017-2018,League 1,1,Aymen Abdennour,tn TUN,DF,Marseille,27,1989,8,6,500,0,0,0,0,3,0
2017-2018,League 1,2,Mehdi Abeid,dz ALG,MF,Dijon,24,1992,19,14,"1,176",0,1,0,0,2,0
2017-2018,League 1,3,Khaled Adénon,bj BEN,DF,Amiens,32,1985,34,32,"2,921",0,1,0,0,9,0
2017-2018,League 1,4,Ruben Aguilar,fr FRA,"DF,MF",Montpellier,24,1993,31,27,"2,459",0,3,0,0,2,0
2017-2018,League 1,5,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,23,1994,35,35,"3,006",5,0,0,0,4,0
2017-2018,League 1,6,Youssef Aït Bennasser,ma MAR,MF,Caen,21,1996,27,25,"2,048",0,0,0,0,4,0
2017-2018,League 1,7,David Alcibiade,fr FRA,DF,Nantes,25,1991,3,2,208,0,0,0,0,0,0
2017-2018,League 1,8,Júnior Alonso,py PAR,DF,Lille,24,1993,34,30,"2,782",2,0,0,0,3,0
2017-2018,League 1,9,Dani Alves,br BRA,DF,Paris S-G,34,1983,25,23,"2,065",1,4,0,0,7,1
2017-2018,League 1,10,Ibrahim Amadou,fr FRA,"MF,DF",Lille,24,1993,30,30,"2,405",0,0,0,0,3,0
2017-2018,League 1,11,Morgan Amalfitano,fr FRA,MF,Rennes,32,1985,14,10,747,0,0,0,0,2,3
2017-2018,League 1,12,Romain Amalfitano,fr FRA,MF,Dijon,27,1989,33,31,"2,703",0,1,0,0,5,0
2017-2018,League 1,13,Jordan Amavi,fr FRA,DF,Marseille,23,1994,27,24,"2,193",0,3,0,0,7,0
2017-2018,League 1,14,Kelvin Amian,fr FRA,DF,Toulouse,19,1998,36,35,"3,154",1,1,0,0,3,1
2017-2018,League 1,15,Benjamin André,fr FRA,MF,Rennes,26,1990,34,34,"3,012",3,2,0,0,11,2
2017-2018,League 1,16,Yoann Andreu,fr FRA,DF,Angers,28,1989,23,23,"2,070",1,2,0,0,4,0
2017-2018,League 1,17,Houssem Aouar,fr FRA,"MF,FW",Lyon,19,1998,32,27,"2,430",6,4,0,0,1,0
2017-2018,League 1,18,Luiz Araújo,br BRA,"FW,MF",Lille,21,1996,34,24,"2,017",5,2,0,0,5,0
2017-2018,League 1,19,Alphonse Areola,fr FRA,GK,Paris S-G,24,1993,34,34,"3,060",0,0,0,0,0,0
2017-2018,League 1,20,Yoël Armougom,fr FRA,"MF,DF",Caen,19,1998,4,1,139,0,0,0,0,0,0
2017-2018,League 1,21,Benoît Assou-Ekotto,cm CMR,DF,Metz,33,1984,13,13,"1,053",0,0,0,0,2,3
2017-2018,League 1,22,Danilo Avelar,br BRA,"DF,FW",Amiens,28,1989,21,20,"1,727",1,0,0,0,2,0
2017-2018,League 1,23,Durel Avounou,cg CGO,"MF,DF",Caen,19,1997,9,8,651,0,0,0,0,1,0
2017-2018,League 1,24,Chidozie Awaziem,ng NGA,DF,Nantes,20,1997,22,16,"1,512",1,0,0,0,2,1
2017-2018,League 1,25,Karim Azamoum,fr FRA,MF,Troyes,27,1990,30,26,"2,278",1,0,0,0,5,1
2017-2018,League 1,26,Ludovic Baal,gf GUF,DF,Rennes,31,1986,17,14,"1,159",0,1,0,0,0,0
2017-2018,League 1,27,Dylan Bahamboula,cg CGO,"FW,MF",Dijon,22,1995,4,0,30,0,0,0,0,0,0
2017-2018,League 1,28,Farès Bahlouli,fr FRA,"MF,FW",Lille,22,1995,11,2,307,1,0,0,0,2,0
2017-2018,League 1,29,Stéphane Bahoken,cm CMR,FW,Strasbourg,25,1992,26,19,"1,663",7,1,0,0,5,0
2017-2018,League 1,30,Keita Baldé,sn SEN,"FW,MF",Monaco,22,1995,23,19,"1,470",8,5,0,0,3,2
2017-2018,League 1,31,Iván Balliu,al ALB,DF,Metz,25,1992,25,22,"1,951",0,1,0,0,6,0
2017-2018,League 1,32,Fodé Ballo-Touré,fr FRA,DF,Lille,20,1997,27,25,"2,055",0,0,0,0,5,1
2017-2018,League 1,33,Florent Balmont,fr FRA,MF,Dijon,37,1980,21,9,860,1,2,0,0,3,0
2017-2018,League 1,34,Mario Balotelli,it ITA,FW,Nice,26,1990,28,26,"2,272",18,1,6,7,11,1
2017-2018,League 1,35,Abdoulaye Bamba,ci CIV,DF,Angers,27,1990,18,17,"1,533",0,0,0,0,2,0
2017-2018,League 1,36,Jonathan Bamba,fr FRA,"FW,MF",Saint-Étienne,21,1996,34,27,"2,571",7,6,4,4,1,0
2017-2018,League 1,37,Yacine Bammou,ma MAR,"MF,FW",Nantes,25,1991,16,10,727,3,0,0,0,2,2
2017-2018,League 1,38,Sekou Baradji,fr FRA,MF,Amiens,33,1984,1,0,7,0,0,0,0,0,0
2017-2018,League 1,39,Nicolas Basin,fr FRA,DF,Metz,19,1998,5,3,314,1,0,0,0,1,0
2017-2018,League 1,40,Gil Bastião Dias,pt POR,FW,Monaco,20,1996,1,0,8,0,0,0,0,0,0
2017-2018,League 1,41,Paul Baysse,fr FRA,DF,Bordeaux,29,1988,8,6,570,0,0,0,0,0,1
2017-2018,League 1,42,Hervé Bazile,ht HAI,"FW,MF",Caen,27,1990,19,10,878,0,1,0,0,1,0
2017-2018,League 1,43,Henri Bedimo,cm CMR,"DF,MF",Marseille,33,1984,3,0,43,0,0,0,0,0,0
2017-2018,League 1,44,François Bellugou,fr FRA,MF,Troyes,30,1987,30,27,"2,177",0,0,0,0,6,1
2017-2018,League 1,45,Chaouki Ben Saada,tn TUN,"FW,MF",Troyes,33,1984,16,2,341,0,0,0,0,3,0
2017-2018,League 1,46,Diego Benaglio,ch SUI,GK,Monaco,33,1983,3,2,225,0,0,0,0,0,0
2017-2018,League 1,47,Nicolas Benezet,fr FRA,"FW,MF",Guingamp,26,1991,29,18,"1,650",3,3,0,0,2,0
2017-2018,League 1,48,Walter Benítez,ar ARG,GK,Nice,24,1993,28,28,"2,520",0,0,0,0,3,0
2017-2018,League 1,49,Ramy Bensebaini,dz ALG,DF,Rennes,22,1995,29,26,"2,342",0,1,0,0,6,0
2017-2018,League 1,50,Yassine Benzia,dz ALG,"MF,FW",Lille,22,1994,31,30,"2,288",1,5,0,0,8,0
2017-2018,League 1,51,Yuri Berchiche,es ESP,DF,Paris S-G,27,1990,22,19,"1,715",2,3,0,0,4,0
2017-2018,League 1,52,Robert Berić,si SVN,FW,Saint-Étienne,26,1991,15,12,"1,041",7,1,1,2,0,0
2017-2018,League 1,53,Kévin Bérigaud,fr FRA,"MF,FW",Montpellier,29,1988,5,4,271,0,0,0,0,0,0
2017-2018,League 1,54,Vincent Bessat,fr FRA,"DF,MF",Caen,31,1985,24,18,"1,570",0,0,0,0,2,0
