Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2018-2019,La Liga,1,Antonio Adán,es ESP,GK,Atlético Madrid,31,1987,1,1,90,0,0,0,0,1,0
2018-2019,La Liga,2,Aday,es ESP,"DF,MF",Girona,30,1987,10,8,645,0,2,0,0,2,0
2018-2019,La Liga,3,Aritz Aduriz,es ESP,FW,Athletic Club,37,1981,20,10,943,2,0,2,2,5,0
2018-2019,La Liga,4,Luis Advíncula,pe PER,DF,Rayo Vallecano,28,1990,28,27,"2,389",1,3,0,0,6,2
2018-2019,La Liga,5,Martin Agirregabiria,es ESP,DF,Alavés,22,1996,27,23,"2,032",0,0,0,0,4,0
2018-2019,La Liga,6,Juan Aguilera,es ESP,MF,Huesca,32,1985,6,4,344,0,0,0,0,1,0
2018-2019,La Liga,7,Carlos Akapo,gq EQG,DF,Huesca,25,1993,13,12,"1,023",0,0,0,0,2,0
2018-2019,La Liga,8,Sergio Akieme,es ESP,DF,Rayo Vallecano,20,1997,2,2,180,0,1,0,0,0,0
2018-2019,La Liga,9,Jordi Alba,es ESP,DF,Barcelona,29,1989,36,32,"2,991",2,8,0,0,6,0
2018-2019,La Liga,10,Pedro Alcalá,es ESP,DF,Girona,29,1989,25,20,"1,868",1,1,0,0,9,0
2018-2019,La Liga,11,Rubén Alcaraz,es ESP,MF,Valladolid,27,1991,34,34,"2,976",3,2,0,1,13,0
2018-2019,La Liga,12,Álex Alegría,es ESP,"FW,MF",Rayo Vallecano,25,1992,9,0,140,0,0,0,0,0,0
2018-2019,La Liga,13,Iván Alejo,es ESP,"MF,FW",Getafe,23,1995,4,2,146,0,0,0,0,2,1
2018-2019,La Liga,14,Carles Aleñá,es ESP,MF,Barcelona,20,1998,17,6,637,2,0,0,0,2,0
2018-2019,La Liga,15,Alexander,ar ARG,DF,Leganés,29,1988,1,0,10,0,0,0,0,0,0
2018-2019,La Liga,16,Júnior Alonso,py PAR,"DF,MF",Celta Vigo,25,1993,9,6,536,0,0,0,0,2,0
2018-2019,La Liga,17,Sergio Álvarez,es ESP,GK,Celta Vigo,31,1986,13,13,"1,170",0,0,0,0,1,0
2018-2019,La Liga,18,Sergio Álvarez,es ESP,"MF,DF",Eibar,26,1992,19,12,"1,069",0,0,0,0,1,0
2018-2019,La Liga,19,Yeray Álvarez,es ESP,DF,Athletic Club,23,1995,30,30,"2,613",0,0,0,0,10,0
