Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2018-2019,EPL,1,Patrick van Aanholt,nl NED,DF,Crystal Palace,27,1990,36,36,"3,195",3,2,0,0,3,0
2018-2019,EPL,2,Sergio Agüero,ar ARG,FW,Manchester City,30,1988,33,31,"2,459",21,8,2,2,4,0
2018-2019,EPL,3,Nathan Aké,nl NED,DF,Bournemouth,23,1995,38,38,"3,411",4,0,0,0,3,0
2018-2019,EPL,4,Marc Albrighton,eng ENG,"FW,MF",Leicester City,28,1989,27,18,"1,625",2,2,0,0,3,0
2018-2019,EPL,5,Toby Alderweireld,be BEL,DF,Tottenham,29,1989,34,33,"2,922",0,0,0,0,3,0
2018-2019,EPL,6,Trent Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,29,27,"2,462",1,12,0,0,3,0
2018-2019,EPL,7,Alisson,br BRA,GK,Liverpool,25,1992,38,38,"3,420",0,0,0,0,1,0
2018-2019,EPL,8,Dele Alli,eng ENG,"MF,FW",Tottenham,22,1996,25,22,"1,825",5,3,0,0,4,0
2018-2019,EPL,9,Miguel Almirón,py PAR,"FW,MF",Newcastle Utd,24,1994,10,9,759,0,0,0,0,0,0
2018-2019,EPL,10,Marcos Alonso,es ESP,DF,Chelsea,27,1990,31,31,"2,759",2,4,0,0,6,0
2018-2019,EPL,11,Daniel Amartey,gh GHA,DF,Leicester City,23,1994,9,7,641,0,0,0,0,2,0
2018-2019,EPL,12,Luke Amos,eng ENG,MF,Tottenham,21,1997,1,0,3,0,0,0,0,0,0
2018-2019,EPL,13,Felipe Anderson,br BRA,"FW,MF",West Ham,25,1993,36,36,"3,043",9,4,0,0,3,0
2018-2019,EPL,14,Florin Andone,ro ROU,FW,Brighton,25,1993,23,8,881,3,0,0,0,5,0
2018-2019,EPL,15,Michail Antonio,eng ENG,"FW,MF",West Ham,28,1990,33,22,"2,103",6,4,0,0,3,0
2018-2019,EPL,16,Stuart Armstrong,sco SCO,"MF,FW",Southampton,26,1992,29,16,"1,432",3,2,0,0,2,0
2018-2019,EPL,17,Marko Arnautović,at AUT,FW,West Ham,29,1989,28,24,"1,990",10,4,1,1,3,0
2018-2019,EPL,18,Kepa Arrizabalaga,es ESP,GK,Chelsea,23,1994,36,36,"3,240",0,0,0,0,2,0
2018-2019,EPL,19,Harry Arter,ie IRL,MF,Cardiff City,28,1989,25,24,"1,997",0,1,0,0,10,0
2018-2019,EPL,20,Christian Atsu,gh GHA,"MF,FW",Newcastle Utd,26,1992,28,15,"1,493",1,0,0,0,2,0
2018-2019,EPL,21,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,29,1989,36,30,"2,726",22,5,4,5,0,0
2018-2019,EPL,22,Serge Aurier,ci CIV,"DF,MF",Tottenham,25,1992,8,6,564,0,2,0,0,1,0
2018-2019,EPL,23,Charlie Austin,eng ENG,FW,Southampton,29,1989,25,11,983,2,2,0,1,1,0
2018-2019,EPL,24,Jordan Ayew,gh GHA,FW,Crystal Palace,26,1991,20,14,"1,181",1,2,0,0,3,0
2018-2019,EPL,25,Floyd Ayité,tg TOG,"FW,MF",Fulham,29,1988,16,3,476,1,0,0,0,0,0
2018-2019,EPL,26,César Azpilicueta,es ESP,DF,Chelsea,28,1989,38,38,"3,402",1,5,0,0,4,0
2018-2019,EPL,27,Ryan Babel,nl NED,FW,Fulham,31,1986,16,15,"1,251",5,3,0,0,3,0
2018-2019,EPL,28,Juninho Bacuna,cw CUW,"MF,DF",Huddersfield,20,1997,21,16,"1,412",1,0,0,0,4,0
2018-2019,EPL,29,Leandro Bacuna,cw CUW,"MF,DF",Cardiff City,26,1991,11,4,561,0,0,0,0,2,0
2018-2019,EPL,30,Eric Bailly,ci CIV,DF,Manchester Utd,24,1994,12,8,638,0,0,0,0,0,1
2018-2019,EPL,31,Leighton Baines,eng ENG,DF,Everton,33,1984,6,5,375,0,0,0,0,0,0
2018-2019,EPL,32,Fabián Balbuena,py PAR,DF,West Ham,26,1991,23,23,"2,013",1,0,0,0,2,0
2018-2019,EPL,33,Leon Balogun,ng NGA,DF,Brighton,30,1988,8,5,594,1,0,0,0,2,0
2018-2019,EPL,34,Sol Bamba,ci CIV,DF,Cardiff City,33,1985,28,28,"2,474",4,1,0,0,7,0
2018-2019,EPL,35,Phil Bardsley,sco SCO,DF,Burnley,33,1985,19,19,"1,670",0,0,0,0,9,0
2018-2019,EPL,36,Ross Barkley,eng ENG,MF,Chelsea,24,1993,27,13,"1,245",3,5,0,0,1,0
2018-2019,EPL,37,Ashley Barnes,at AUT,FW,Burnley,28,1989,37,26,"2,388",12,2,2,2,8,0
2018-2019,EPL,38,Harvey Barnes,eng ENG,"FW,MF",Leicester City,20,1997,16,11,"1,004",1,2,0,0,0,0
2018-2019,EPL,39,Antonio Barreca,it ITA,DF,Newcastle Utd,23,1995,1,0,5,0,0,0,0,0,0
2018-2019,EPL,40,Michy Batshuayi,be BEL,FW,Crystal Palace,24,1993,11,9,750,5,0,0,0,0,0
2018-2019,EPL,41,Jan Bednarek,pl POL,DF,Southampton,22,1996,25,24,"2,151",0,1,0,0,7,0
2018-2019,EPL,42,Asmir Begović,ba BIH,GK,Bournemouth,31,1987,24,24,"2,160",0,0,0,0,0,0
2018-2019,EPL,43,Héctor Bellerín,es ESP,DF,Arsenal,23,1995,19,18,"1,533",0,5,0,0,3,0
2018-2019,EPL,44,Joe Bennett,eng ENG,DF,Cardiff City,28,1990,30,30,"2,639",0,1,0,0,5,0
2018-2019,EPL,45,Ryan Bennett,eng ENG,DF,Wolves,28,1990,34,34,"3,060",1,0,0,0,12,0
2018-2019,EPL,46,Christian Benteke,be BEL,FW,Crystal Palace,27,1990,16,9,814,1,1,0,0,1,0
