Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2017-2018,Serie A,1,Rolando Aarons,eng ENG,"MF,FW",Hellas Verona,21,1995,11,6,517,0,0,0,0,0,0
2017-2018,Serie A,2,Ignazio Abate,it ITA,DF,Milan,30,1986,17,11,"1,057",1,0,0,0,3,0
2017-2018,Serie A,3,Francesco Acerbi,it ITA,DF,Sassuolo,29,1988,38,38,"3,420",0,0,0,0,4,0
2017-2018,Serie A,4,Afriyie Acquah,gh GHA,MF,Torino,25,1992,22,9,951,1,0,0,0,4,2
2017-2018,Serie A,5,Claud Adjapong,it ITA,"DF,MF",Sassuolo,19,1998,16,14,"1,220",0,0,0,0,5,1
2017-2018,Serie A,6,Ali Adnan Kadhim,iq IRQ,"DF,MF",Udinese,23,1993,23,18,"1,674",0,1,0,0,4,0
2017-2018,Serie A,7,Arlind Ajeti,al ALB,"DF,MF",Crotone,23,1993,21,15,"1,271",0,1,0,0,7,0
2017-2018,Serie A,8,Luis Alberto,es ESP,"MF,FW",Lazio,24,1992,34,32,"2,669",11,14,1,2,5,0
2017-2018,Serie A,9,Raúl Albiol,es ESP,DF,Napoli,31,1985,31,30,"2,742",3,1,0,0,7,0
2017-2018,Serie A,10,Alisson,br BRA,GK,Roma,24,1992,37,37,"3,330",0,0,0,0,1,0
2017-2018,Serie A,11,Allan,br BRA,MF,Napoli,26,1991,38,32,"2,850",4,5,0,0,2,0
2017-2018,Serie A,12,Ricky Álvarez,ar ARG,"MF,FW",Sampdoria,29,1988,12,2,267,1,1,0,0,0,0
2017-2018,Serie A,13,Joachim Andersen,dk DEN,DF,Sampdoria,21,1996,7,6,546,0,0,0,0,0,0
2017-2018,Serie A,14,Felipe Anderson,br BRA,"MF,FW",Lazio,24,1993,21,9,"1,162",4,6,0,0,0,0
2017-2018,Serie A,15,Nícolas Andrade,br BRA,GK,Hellas Verona,29,1988,36,36,"3,240",0,0,0,0,2,1
2017-2018,Serie A,16,Marco Andreolli,it ITA,DF,Cagliari,31,1986,23,20,"1,829",0,0,0,0,5,0
2017-2018,Serie A,17,Gabriele Angella,it ITA,DF,Udinese,28,1989,12,9,893,0,0,0,0,3,0
2017-2018,Serie A,18,Cristian Ansaldi,ar ARG,"DF,MF",Torino,30,1986,25,20,"1,872",1,3,0,0,6,2
2017-2018,Serie A,19,Luca Antei,it ITA,DF,Benevento,25,1992,8,8,592,0,0,0,0,1,1
2017-2018,Serie A,20,Mirco Antenucci,it ITA,FW,SPAL,32,1984,33,28,"2,571",11,4,5,5,1,0
2017-2018,Serie A,21,Luca Antonelli,it ITA,"DF,MF",Milan,30,1987,6,1,144,0,0,0,0,1,0
2017-2018,Serie A,22,Mirko Antonucci,it ITA,FW,Roma,18,1999,2,0,31,0,1,0,0,0,0
2017-2018,Serie A,23,Samuel Armenteros,se SWE,FW,Benevento,27,1990,9,5,429,1,0,0,0,1,0
2017-2018,Serie A,24,Kwadwo Asamoah,gh GHA,DF,Juventus,28,1988,19,18,"1,568",0,0,0,0,4,0
2017-2018,Serie A,25,Davide Astori,it ITA,DF,Fiorentina,30,1987,25,25,"2,250",1,1,0,0,5,0
2017-2018,Serie A,26,Felipe Avenatti,uy URU,"FW,MF",Bologna,24,1993,11,4,468,0,0,0,0,1,0
2017-2018,Serie A,27,Khouma Babacar,sn SEN,FW,Sassuolo,24,1993,13,8,750,2,1,1,1,0,0
2017-2018,Serie A,28,Khouma Babacar,sn SEN,"FW,MF",Fiorentina,24,1993,16,1,448,4,1,2,2,1,0
2017-2018,Serie A,29,Milan Badelj,hr CRO,MF,Fiorentina,28,1989,27,27,"2,351",2,1,0,0,9,2
2017-2018,Serie A,30,Riad Bajić,ba BIH,"FW,MF",Udinese,23,1994,5,0,80,0,0,0,0,0,0
2017-2018,Serie A,31,Andrija Balić,hr CRO,MF,Udinese,19,1997,21,11,"1,083",0,1,0,0,2,0
2017-2018,Serie A,32,Mattia Bani,it ITA,DF,Chievo,23,1993,16,15,"1,317",0,0,0,0,5,1
2017-2018,Serie A,33,Antonín Barák,cz CZE,MF,Udinese,22,1994,34,31,"2,713",7,3,0,0,5,0
2017-2018,Serie A,34,Andrea Barberis,it ITA,MF,Crotone,23,1993,38,34,"3,029",2,1,0,0,1,0
2017-2018,Serie A,35,Nicolò Barella,it ITA,MF,Cagliari,20,1997,34,34,"2,955",6,2,3,3,14,2
2017-2018,Serie A,36,Antonio Barreca,it ITA,"DF,MF",Torino,22,1995,9,3,468,0,0,0,0,0,1
2017-2018,Serie A,37,Édgar Barreto,py PAR,MF,Sampdoria,33,1984,28,24,"1,965",1,2,0,0,5,2
2017-2018,Serie A,38,Musa Barrow,gm GAM,"FW,MF",Atalanta,18,1998,12,5,443,3,1,0,0,0,0
2017-2018,Serie A,39,Andrea Barzagli,it ITA,DF,Juventus,36,1981,25,14,"1,447",0,1,0,0,2,0
2017-2018,Serie A,40,Daniele Baselli,it ITA,MF,Torino,25,1992,32,30,"2,521",4,0,0,0,13,2
2017-2018,Serie A,41,Dušan Basta,rs SRB,"DF,MF",Lazio,32,1984,11,9,775,0,1,0,0,0,0
2017-2018,Serie A,42,Gil Bastião Dias,pt POR,"FW,MF",Fiorentina,20,1996,27,9,"1,190",2,3,0,0,1,0
