Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2018-2019,League 1,1,Ismael Aaneba,fr FRA,DF,Strasbourg,19,1999,3,3,204,0,0,0,0,3,0
2018-2019,League 1,2,Yunis Abdelhamid,ma MAR,DF,Reims,30,1987,38,38,"3,420",0,0,0,0,2,0
2018-2019,League 1,3,Mehdi Abeid,dz ALG,MF,Dijon,25,1992,26,23,"2,023",3,0,1,1,6,0
2018-2019,League 1,4,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,18,2000,3,0,32,0,0,0,0,0,0
2018-2019,League 1,5,Khaled Adénon,bj BEN,DF,Amiens,33,1985,23,22,"1,994",0,0,0,0,7,1
2018-2019,League 1,6,Yacine Adli,fr FRA,"MF,FW",Bordeaux,18,2000,7,2,216,0,0,0,0,1,0
2018-2019,League 1,7,Nayef Aguerd,ma MAR,DF,Dijon,22,1996,13,12,"1,050",3,0,0,0,4,1
2018-2019,League 1,8,Ruben Aguilar,fr FRA,"DF,MF",Montpellier,25,1993,29,29,"2,528",1,4,0,0,8,0
2018-2019,League 1,9,Jean-Eudes Aholou,ci CIV,MF,Monaco,24,1994,17,12,"1,075",0,1,0,0,2,0
2018-2019,League 1,10,Youssef Aït Bennasser,ma MAR,MF,Monaco,22,1996,13,12,"1,073",0,2,0,0,2,0
2018-2019,League 1,11,Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,22,1996,13,11,936,0,0,0,0,0,0
2018-2019,League 1,12,Rayan Aït Nouri,fr FRA,DF,Angers,17,2001,3,0,57,0,0,0,0,1,0
2018-2019,League 1,13,Ludovic Ajorque,re REU,FW,Strasbourg,24,1994,25,18,"1,531",9,1,0,0,5,0
2018-2019,League 1,14,Sofiane Alakouch,fr FRA,DF,Nîmes,20,1998,25,23,"1,895",1,0,0,0,4,0
2018-2019,League 1,15,Alexis Alegue,fr FRA,FW,Nantes,21,1996,1,0,5,0,0,0,0,0,0
2018-2019,League 1,16,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,23,1995,25,25,"2,250",0,0,0,0,0,0
2018-2019,League 1,17,Rachid Alioui,ma MAR,FW,Nîmes,26,1992,27,11,"1,252",5,0,0,0,1,0
2018-2019,League 1,18,Bobby Allain,fr FRA,GK,Dijon,26,1991,13,13,"1,170",0,0,0,0,1,0
2018-2019,League 1,19,Mickaël Alphonse,GPE,DF,Dijon,29,1989,11,6,571,1,0,0,0,0,0
2018-2019,League 1,20,Dani Alves,br BRA,"MF,DF",Paris S-G,35,1983,23,19,"1,622",1,7,0,0,4,0
