Season,League,Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Attendance,Top Team Scorer,Goalkeeper,Winner
2017-2018,Serie A,1,Juventus,38,30,5,3,86,24,62,95,"39,316",Paulo Dybala - 22,Gianluigi Buffon,Champion
2017-2018,Serie A,2,Napoli,38,28,7,3,77,29,48,91,"43,050",Dries Mertens - 18,Pepe Reina,
2017-2018,Serie A,3,Roma,38,23,8,7,61,28,33,77,"37,450",Edin DÅ¾eko - 16,Alisson,
2017-2018,Serie A,4,Inter,38,20,12,6,66,30,36,72,"57,529",Mauro Icardi - 29,Samir HandanoviÄ‡,
2017-2018,Serie A,5,Lazio,38,21,9,8,89,49,40,72,"30,990",Ciro Immobile - 29,Thomas Strakosha,
2017-2018,Serie A,6,Milan,38,18,10,10,56,42,14,64,"52,690",Patrick Cutrone - 10,Gianluigi Donnarumma,
2017-2018,Serie A,7,Atalanta,38,16,12,10,57,39,18,60,"17,921",Josip IliÄiÄ‡ - 11,Etrit Berisha,
2017-2018,Serie A,8,Fiorentina,38,16,9,13,54,46,8,57,"26,092",Giovanni Simeone - 14,Marco Sportiello,
2017-2018,Serie A,9,Torino,38,13,15,10,54,46,8,54,"18,596",Iago Falque - 12,Salvatore Sirigu,
2017-2018,Serie A,10,Sampdoria,38,16,6,16,56,60,-4,54,"20,156",Fabio Quagliarella - 19,Emiliano Viviano,
2017-2018,Serie A,11,Sassuolo,38,11,10,17,29,59,-30,43,"11,237",Matteo Politano - 10,Andrea Consigli,
2017-2018,Serie A,12,Genoa,38,11,8,19,33,43,-10,41,"20,941",Gianluca Lapadula - 6,Mattia Perin,
2017-2018,Serie A,13,Chievo,38,10,10,18,36,59,-23,40,"12,540",Roberto Inglese - 12,Stefano Sorrentino,
2017-2018,Serie A,14,Udinese,38,12,4,22,48,63,-15,40,"17,906",Kevin Lasagna - 12,Albano Bizzarri,
2017-2018,Serie A,15,Bologna,38,11,6,21,40,52,-12,39,"20,903",Simone Verdi - 10,Antonio Mirante,
2017-2018,Serie A,16,Cagliari,38,11,6,21,33,61,-28,39,"14,685",Leonardo Pavoletti - 11,Alessio Cragno,
2017-2018,Serie A,17,SPAL,38,8,14,16,39,59,-20,38,"12,067",Mirco Antenucci - 11,Alfred Gomis,
2017-2018,Serie A,18,Crotone,38,9,8,21,40,66,-26,35,"10,581","Simeon Nwankwo, Marcello Trotta - 7",Alex Cordaz,
2017-2018,Serie A,19,Hellas Verona,38,7,4,27,30,78,-48,25,"17,333","Moise Kean, Giampaolo Pazzini - 4",NÃ­colas Andrade,
2017-2018,Serie A,20,Benevento,38,6,3,29,33,84,-51,21,"12,132",Cheick DiabatÃ© - 8,Christian Puggioni,
