Season,League,Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Attendance,Top Team Scorer,Goalkeeper,Winner
2018-2019,EPL,1,Manchester City,38,32,2,4,95,23,72,98,"54,130",Sergio AgÃ¼ero - 21,Ederson,Champion
2018-2019,EPL,2,Liverpool,38,30,7,1,89,22,67,97,"52,983","Sadio ManÃ©, Mohamed Salah - 22",Alisson,
2018-2019,EPL,3,Chelsea,38,21,9,8,63,39,24,72,"40,437",Eden Hazard - 16,Kepa Arrizabalaga,
2018-2019,EPL,4,Tottenham,38,23,2,13,67,39,28,71,"54,216",Harry Kane - 17,Hugo Lloris,
2018-2019,EPL,5,Arsenal,38,21,7,10,73,51,22,70,"59,899",Pierre-Emerick Aubameyang - 22,Bernd Leno,
2018-2019,EPL,6,Manchester Utd,38,19,9,10,65,54,11,66,"74,498",Paul Pogba - 13,David de Gea,
2018-2019,EPL,7,Wolves,38,16,9,13,47,46,1,57,"31,030",RaÃºl JimÃ©nez - 13,Rui PatrÃ­cio,
2018-2019,EPL,8,Everton,38,15,9,14,54,46,8,54,"39,043","Gylfi SigurÃ°sson, Richarlison - 13",Jordan Pickford,
2018-2019,EPL,9,Leicester City,38,15,7,16,51,48,3,52,"31,851",Jamie Vardy - 18,Kasper Schmeichel,
2018-2019,EPL,10,West Ham,38,15,7,16,52,55,-3,52,"58,336",Marko ArnautoviÄ‡ - 10,Åukasz FabiaÅ„ski,
2018-2019,EPL,11,Watford,38,14,8,16,52,59,-7,50,"20,016",Gerard Deulofeu - 10,Ben Foster,
2018-2019,EPL,12,Crystal Palace,38,14,7,17,51,53,-2,49,"25,455",Luka MilivojeviÄ‡ - 12,Vicente Guaita,
2018-2019,EPL,13,Newcastle Utd,38,12,9,17,42,48,-6,45,"51,121",Ayoze PÃ©rez - 12,Martin DÃºbravka,
2018-2019,EPL,14,Bournemouth,38,13,6,19,56,70,-14,45,"10,532",Callum Wilson - 14,Asmir BegoviÄ‡,
2018-2019,EPL,15,Burnley,38,11,7,20,45,68,-23,40,"20,534",Ashley Barnes - 12,"Tom Heaton, Joe Hart",
2018-2019,EPL,16,Southampton,38,9,12,17,45,65,-20,39,"30,139","James Ward-Prowse, Danny Ings - 7",Alex McCarthy,
2018-2019,EPL,17,Brighton,38,9,9,20,35,60,-25,36,"30,426",Glenn Murray - 13,Mathew Ryan,
2018-2019,EPL,18,Cardiff City,38,10,4,24,34,69,-35,34,"31,408","VÃ­ctor Camarasa, Bobby Reid - 5",Neil Etheridge,
2018-2019,EPL,19,Fulham,38,7,5,26,34,81,-47,26,"24,371",Aleksandar MitroviÄ‡ - 11,Sergio Rico,
2018-2019,EPL,20,Huddersfield,38,3,7,28,22,76,-54,16,"23,203","Aaron Mooy, Mathias JÃ¸rgensen... - 3",Jonas LÃ¶ssl,
